date,portfolio_value,capital_cash,holdings,spy_price
2019-01-04,100000.0,100000.0,0,226.36
2019-01-11,100000.0,100000.0,0,232.28
2019-01-18,100000.0,100000.0,0,238.98
2019-01-25,100000.0,100000.0,0,238.37
2019-02-01,100000.0,100000.0,0,242.21
2019-02-08,100000.0,100000.0,0,242.58
2019-02-15,100000.0,100000.0,0,248.77
2019-02-22,100000.0,100000.0,0,250.36
2019-03-01,100000.0,100000.0,0,251.5
2019-03-08,100000.0,100000.0,0,246.16
2019-03-15,100000.0,100000.0,0,253.41
2019-03-22,100000.0,100000.0,0,251.56
2019-03-29,100000.0,100000.0,0,254.47
2019-04-05,100000.0,100000.0,0,259.95
2019-04-12,100000.0,100000.0,0,261.39
2019-04-26,100000.0,100000.0,0,264.31
2019-05-03,100000.0,100000.0,0,264.87
2019-05-10,100000.0,100000.0,0,259.53
2019-05-17,100000.0,100000.0,0,257.49
2019-05-24,100000.0,100000.0,0,254.74
2019-05-31,100000.0,100000.0,0,247.97
2019-06-07,100000.0,100000.0,0,259.13
2019-06-14,100000.0,100000.0,0,260.58
2019-06-21,100000.0,100000.0,0,266.13
2019-06-28,100000.0,100000.0,0,265.23
2019-07-05,100000.0,100000.0,0,270.17
2019-07-12,100000.0,100000.0,0,272.15
2019-07-19,100000.0,100000.0,0,269.0
2019-07-26,100000.0,100000.0,0,273.38
2019-08-02,100000.0,100000.0,0,264.88
2019-08-09,100000.0,100000.0,0,263.98
2019-08-16,100000.0,100000.0,0,261.47
2019-08-23,100000.0,100000.0,0,257.85
2019-08-30,100000.0,100000.0,0,264.73
2019-09-06,100000.0,100000.0,0,269.8
2019-09-13,100000.0,100000.0,0,272.55
2019-09-20,100000.0,100000.0,0,271.25
2019-09-27,100000.0,100000.0,0,268.64
2019-10-04,100000.0,100000.0,0,267.68
2019-10-11,100000.0,100000.0,0,269.44
2019-10-18,100000.0,100000.0,0,270.97
2019-10-25,100000.0,100000.0,0,274.27
2019-11-01,100000.0,100000.0,0,278.4
2019-11-08,100000.0,100000.0,0,280.95
2019-11-15,100000.0,100000.0,0,283.54
2019-11-22,100000.0,100000.0,0,282.79
2019-11-29,100000.0,100000.0,0,285.83
2019-12-06,100000.0,100000.0,0,286.34
2019-12-13,100000.0,100000.0,0,288.57
2019-12-20,100000.0,100000.0,0,293.1
2019-12-27,100000.0,100000.0,0,295.05
2020-01-03,99983.43,2520.95,5,294.64
2020-01-10,99722.48,1021.61,5,297.66
2020-01-17,102883.63,1021.61,5,303.36
2020-01-24,103476.39,1021.61,5,300.45
2020-01-31,101012.45,657.71,5,294.02
2020-02-07,105378.73,657.71,5,303.59
2020-02-14,112775.83,657.71,5,308.52
2020-02-21,108341.38,680.11,5,304.76
2020-02-28,92278.26,27784.84,5,270.74
2020-03-06,90865.47,667.78,5,271.84
2020-03-13,80669.08,1398.3,4,246.12
2020-03-20,82924.88,176.02,2,210.32
2020-03-27,74484.7,20030.34,5,232.95
2020-04-03,73695.84,249.35,5,228.15
2020-04-17,82459.48,1667.13,5,263.49
2020-04-24,85366.77,1667.13,5,260.12
2020-05-01,83844.82,1667.13,5,259.95
2020-05-08,86983.14,1667.13,5,268.82
2020-05-15,87211.53,185.5,5,263.16
2020-05-22,84316.69,185.5,5,271.58
2020-05-29,87524.4,167.41,5,279.74
2020-06-05,83355.78,210.86,5,293.55
2020-06-12,80506.99,1145.69,5,279.64
2020-06-19,82457.99,1634.29,5,284.96
2020-06-26,82794.86,1634.29,5,277.03
2020-07-10,89094.18,1634.29,5,293.23
2020-07-17,92040.4,1634.29,5,297.04
2020-07-24,92611.51,1634.29,5,296.26
2020-07-31,96136.69,1634.29,5,301.47
2020-08-07,99005.06,1634.29,5,308.9
2020-08-14,99169.51,1634.29,5,311.0
2020-08-21,99421.09,1634.29,5,313.44
2020-08-28,99357.51,407.62,5,323.69
2020-09-04,95483.15,10730.03,5,316.29
2020-09-11,93902.47,610.41,5,308.43
2020-09-18,92262.09,10003.37,5,306.51
2020-09-25,89366.9,2108.78,5,304.73
2020-10-02,94289.88,2108.78,5,309.46
2020-10-09,95337.08,1909.44,5,321.52
2020-10-16,95824.91,1909.44,5,321.93
2020-10-23,96021.31,1131.93,5,320.53
2020-10-30,90714.16,1786.99,5,302.7
2020-11-06,103505.89,5974.85,5,324.59
2020-11-13,94510.08,22726.72,5,331.95
2020-11-20,97115.96,1417.16,5,329.38
2020-11-27,100277.07,680.1,5,337.12
2020-12-04,100312.83,640.55,5,342.84
2020-12-11,100285.5,1171.87,5,339.55
2020-12-18,102455.43,993.12,5,343.68
2021-01-08,99932.74,11706.76,5,354.93
2021-01-15,99302.49,11706.76,5,349.75
2021-01-22,100508.59,11706.76,5,356.44
2021-01-29,93274.54,8795.5,5,344.51
2021-02-05,96616.89,1167.21,5,360.93
2021-02-12,101717.12,1167.21,5,365.52
2021-02-19,100231.99,1742.11,5,363.09
2021-02-26,91817.87,17872.74,5,354.09
2021-03-05,87173.64,26648.44,5,357.13
2021-03-12,89781.22,1868.33,5,366.84
2021-03-19,89749.73,1868.33,5,363.77
2021-03-26,91680.3,1717.08,5,369.84
2021-04-09,91289.53,1716.26,5,384.32
2021-04-16,92012.59,1716.26,5,389.71
2021-04-23,91129.77,584.58,5,389.23
2021-04-30,92208.18,584.58,5,389.75
2021-05-07,97956.52,584.58,5,394.25
2021-05-14,94544.4,691.61,5,389.08
2021-05-21,90629.63,21027.3,5,387.55
2021-05-28,92764.08,21027.3,5,392.31
2021-06-04,94859.26,21027.3,5,394.7
2021-06-11,94581.57,2046.4,5,396.3
2021-06-18,89958.59,20694.69,5,388.8
2021-06-25,93889.06,20694.69,5,399.75
2021-07-02,93315.4,1889.04,5,406.41
2021-07-09,92802.78,14924.77,5,408.1
2021-07-16,88586.08,20513.66,5,404.18
2021-07-23,92067.59,20513.66,5,412.24
2021-07-30,92854.3,20513.66,5,410.9
2021-08-06,94200.0,20513.66,5,414.63
2021-08-13,95502.1,20513.66,5,417.84
2021-08-20,91827.22,1083.08,5,415.45
2021-08-27,95561.09,1083.08,5,421.9
2021-09-03,93106.45,1020.97,5,424.55
2021-09-10,92030.89,1020.97,5,417.39
2021-09-17,93213.27,1699.06,5,414.93
2021-09-24,92428.98,1403.48,5,417.29
2021-10-01,94599.37,620.22,5,408.2
2021-10-08,98278.15,944.54,5,411.61
2021-10-15,102541.34,944.54,5,419.14
2021-10-22,103872.1,944.54,5,425.95
2021-10-29,101798.77,944.54,5,431.71
2021-11-05,107795.84,944.54,5,440.44
2021-11-12,105426.04,944.54,5,439.25
2021-11-19,101071.84,863.11,5,440.78
2021-11-26,103082.56,863.11,5,431.45
2021-12-03,98303.61,1345.44,5,426.23
2021-12-10,101917.94,760.5,5,442.51
2021-12-17,100573.08,1446.23,5,433.82
2021-12-31,106882.91,9046.76,5,448.05
2022-01-07,101505.86,11160.1,5,439.68
2022-01-14,100451.92,1778.81,5,438.39
2022-01-21,94535.72,1741.01,5,413.17
2022-01-28,102724.04,553.58,5,416.91
2022-02-04,106834.08,553.58,5,423.28
2022-02-11,108687.85,553.58,5,415.5
2022-02-18,105202.87,553.58,5,409.63
2022-02-25,105517.33,1662.99,5,412.95
2022-03-04,113918.83,1662.99,5,407.68
2022-03-11,112757.71,1662.99,5,396.27
2022-03-18,111405.67,1373.47,5,420.64
2022-03-25,119498.18,1373.47,5,428.37
2022-04-01,119377.79,1373.47,5,428.59
2022-04-08,122632.18,1373.47,5,423.52
2022-04-22,118034.49,8066.91,5,403.15
2022-04-29,116710.49,423.08,5,389.86
2022-05-06,121859.77,1733.82,5,389.24
2022-05-13,115841.7,1611.65,5,380.14
2022-05-20,112290.02,1681.54,5,368.7
2022-05-27,119740.33,1681.54,5,392.95
2022-06-03,120837.5,1681.54,5,388.48
2022-06-10,118608.56,1629.11,5,368.86
2022-06-17,102106.01,12504.24,1,347.7
2022-06-24,107224.99,382.95,5,370.72
2022-07-01,106441.83,311.53,5,362.32
2022-07-08,105902.53,2157.11,5,369.38
2022-07-15,105481.78,232.83,5,366.01
2022-07-22,98788.44,2958.92,5,375.48
2022-07-29,87954.8,3755.28,5,391.54
2022-08-05,87584.79,2117.62,5,392.95
2022-08-12,90659.59,2117.62,5,405.9
2022-08-19,90775.94,2117.62,5,401.19
2022-08-26,94784.07,314.12,5,385.19
2022-09-02,89694.66,2053.13,5,372.77
2022-09-09,89812.49,2719.63,5,386.42
2022-09-16,91473.89,2719.63,5,367.93
2022-09-23,82575.3,29076.04,5,351.12
2022-09-30,82180.8,1685.79,5,340.84
2022-10-07,83685.86,448.69,5,346.2
2022-10-14,82156.39,788.19,5,341.27
2022-10-21,85614.77,1534.21,5,357.17
2022-10-28,88118.43,1534.21,5,371.23
2022-11-04,90830.76,10484.86,5,359.14
2022-11-11,90793.98,10484.86,5,380.28
2022-11-18,92435.87,10484.86,5,377.92
2022-11-25,92402.69,10484.86,5,383.93
2022-12-02,92796.76,10484.86,5,388.3
2022-12-09,86519.19,546.58,5,375.29
2022-12-16,86581.33,524.41,5,367.42
2022-12-23,87882.59,524.41,5,367.08
2022-12-30,84809.66,13786.64,5,366.62
2023-01-06,85413.7,1993.44,5,372.03
2023-01-13,83981.61,587.99,5,382.02
2023-01-20,82015.55,12262.92,5,379.51
2023-01-27,85007.8,1319.58,5,388.9
2023-02-03,79430.75,1096.01,5,395.3
2023-02-10,79482.99,769.17,5,391.17
2023-02-17,79649.0,769.17,5,390.42
2023-02-24,79510.45,9156.81,5,379.99
2023-03-03,81117.66,9156.81,5,387.48
2023-03-10,78671.15,9156.81,5,369.95
2023-03-17,76683.52,7494.13,5,375.29
2023-03-24,77961.6,1182.97,5,380.83
2023-03-31,80331.88,1182.97,5,393.96
2023-04-14,78649.2,613.96,5,396.91
2023-04-21,81120.3,571.4,5,396.66
2023-04-28,79215.17,10067.49,5,400.25
2023-05-05,78011.61,988.16,5,397.08
2023-05-12,77755.35,988.16,5,396.08
2023-05-19,76282.49,9130.56,5,402.84
2023-05-26,75502.48,439.91,5,404.19
2023-06-02,77333.89,597.93,5,411.79
2023-06-09,78011.68,392.28,5,413.7
2023-06-16,79197.28,392.28,5,424.47
2023-06-23,78329.74,392.28,5,418.43
2023-06-30,81787.86,392.28,5,428.16
2023-07-07,80891.45,392.28,5,423.59
2023-07-14,82496.59,392.28,5,433.95
2023-07-21,82596.42,546.29,5,436.75
2023-07-28,87809.71,546.29,5,441.33
2023-08-04,88526.51,546.29,5,431.57
2023-08-11,89317.54,546.29,5,430.44
2023-08-18,87804.13,517.63,5,421.61
2023-08-25,89746.75,454.94,5,424.96
2023-09-01,92084.49,451.91,5,435.8
2023-09-08,90527.24,1094.8,5,430.32
2023-09-15,89025.85,436.18,5,429.75
2023-09-22,86470.5,18048.33,5,417.2
2023-09-29,86201.5,1413.54,5,414.35
2023-10-06,85979.34,11327.95,5,416.35
2023-10-13,87013.19,11327.95,5,418.25
2023-10-20,83746.62,5618.42,5,408.25
2023-10-27,81742.07,941.45,5,398.07
2023-11-03,86624.66,941.45,5,421.34
2023-11-10,87889.06,941.45,5,427.08
2023-11-17,88335.34,941.45,5,436.95
2023-11-24,90023.22,941.45,5,441.32
2023-12-01,88798.98,8737.41,5,445.0
2023-12-08,89934.04,805.62,5,446.07
2023-12-15,95388.27,805.62,5,456.76
2023-12-22,97775.58,805.62,5,460.96
2023-12-29,96858.38,1426.96,5,462.58
2024-01-05,94808.02,1426.96,5,455.39
2024-01-12,99522.74,1426.96,5,463.91
2024-01-19,102340.52,1426.96,5,469.51
2024-01-26,103964.28,1426.96,5,474.36
2024-02-02,114149.69,503.21,5,481.11
2024-02-09,116465.31,503.21,5,487.78
2024-02-16,117165.77,503.21,5,486.13
2024-02-23,121117.12,503.21,5,494.25
2024-03-01,129120.61,503.21,5,499.11
2024-03-08,127464.2,503.21,5,498.01
2024-03-15,128123.52,503.21,5,497.72
2024-03-22,135351.99,503.21,5,508.83
2024-04-05,136748.01,597.05,5,506.11
2024-04-12,132405.27,556.12,5,498.71
2024-04-19,123458.04,15740.91,5,483.4
2024-04-26,129174.32,15740.91,5,496.18
2024-05-03,134361.91,15740.91,5,499.14
2024-05-10,141937.99,15740.91,5,508.47
2024-05-17,140988.39,15740.91,5,516.87
2024-05-24,141401.3,2428.0,5,516.86
2024-05-31,133927.44,2159.24,5,514.84
2024-06-07,125652.61,1746.94,5,521.32
2024-06-14,125758.65,1746.94,5,529.88
2024-06-21,127003.93,1649.21,5,533.29
2024-06-28,124808.19,20694.56,5,533.0
2024-07-05,124940.95,1783.53,5,543.21
2024-07-12,127658.0,1783.53,5,548.45
2024-07-19,123449.65,14087.28,5,537.68
2024-07-26,122628.48,2362.26,5,533.22
2024-08-02,119326.34,16929.88,5,521.92
2024-08-09,120208.81,1560.9,5,522.01
2024-08-16,126297.16,1560.9,5,542.89
2024-08-23,128262.22,1560.9,5,550.54
2024-08-30,132440.34,1560.9,5,552.06
2024-09-06,130409.7,1560.9,5,529.22
2024-09-13,133268.76,1560.9,5,550.43
2024-09-20,135612.03,1560.9,5,558.25
2024-09-27,133657.72,1560.9,5,561.41
2024-10-04,137701.29,1560.9,5,562.89
2024-10-11,139837.35,1674.64,5,569.38
2024-10-18,137661.37,951.98,5,574.3
2024-10-25,138048.02,1801.74,5,568.85
2024-11-01,139983.02,1801.74,5,560.99
2024-11-08,160020.24,889.9,5,587.66
2024-11-15,159834.82,889.9,5,575.44
2024-11-22,174985.13,889.9,5,585.03
2024-11-29,172469.16,2030.14,5,591.94
2024-12-06,171602.4,2030.14,5,597.11
2024-12-13,162034.44,2749.43,5,593.57
2024-12-20,157807.39,40277.55,5,582.7
2024-12-27,158164.63,40277.55,5,586.5
2025-01-03,164211.67,2704.23,5,583.49
2025-01-10,162004.54,1743.5,5,572.19
2025-01-17,171891.95,1743.5,5,589.04
2025-01-24,186661.51,1743.5,5,599.28
2025-01-31,160731.02,20314.98,5,593.21
2025-02-07,175184.24,20314.98,5,592.18
2025-02-14,186741.32,1913.78,5,600.98
2025-02-21,162484.01,2775.84,5,591.36
2025-02-28,154042.17,3124.96,5,585.68
2025-03-07,141792.96,2511.85,5,567.68
2025-03-14,134659.74,31470.21,5,554.76
2025-03-21,134418.56,31470.21,5,557.59
2025-03-28,135957.13,2709.55,5,549.36
2025-04-04,125597.0,28911.3,5,499.55
2025-04-11,122917.31,2677.76,5,527.89
2025-04-25,127221.03,1480.86,5,544.4
2025-05-02,134900.83,1480.86,5,560.34
2025-05-09,127654.86,1605.76,5,557.94
2025-05-16,133194.45,1392.0,5,587.47
2025-05-23,131689.38,1392.0,5,572.55
2025-05-30,136632.27,1392.0,5,582.71
2025-06-06,140134.32,1392.0,5,592.35
2025-06-13,138893.13,1049.27,5,590.23
2025-06-20,143332.62,1049.27,5,589.28
2025-06-27,146650.94,1156.21,5,609.74
2025-07-11,155963.58,1156.21,5,618.37
2025-07-18,164390.38,1884.92,5,622.3
2025-07-25,165318.91,988.19,5,631.74
2025-08-01,164849.46,988.19,5,616.49
2025-08-08,177928.31,988.19,5,631.82
2025-08-15,170635.54,927.81,5,638.03
2025-08-22,164226.45,2089.12,5,639.88
2025-08-29,164260.71,2392.23,5,639.62
2025-09-05,162728.94,790.53,5,641.8
2025-09-12,162661.29,1779.66,5,651.88
2025-09-19,171716.81,1779.66,5,659.94
2025-09-26,164029.6,1971.24,5,658.07
2025-10-03,174269.93,1971.24,5,665.42
2025-10-10,167145.85,1237.11,5,649.32
2025-10-17,170108.7,2046.66,5,660.63
2025-10-24,178696.75,2046.66,5,673.42
2025-10-31,184828.45,2665.65,5,678.2
2025-11-07,176002.45,20263.29,5,667.17
2025-11-14,169176.92,2647.59,5,668.13
2025-11-21,159954.51,38106.76,5,655.3
2025-11-28,171928.09,38106.76,5,679.52
2025-12-05,172980.07,2894.29,5,681.81
2025-12-12,171934.46,1285.48,5,677.9
2025-12-19,171660.13,40308.87,5,678.74
2025-12-26,177608.6,40308.87,5,688.43
2026-01-02,180184.02,40308.87,5,681.31
2026-01-09,192721.86,3238.24,5,692.18
2026-01-16,203999.65,3238.24,5,689.78
2026-01-23,216895.57,3238.24,5,687.35
2026-01-30,220778.21,35330.57,5,690.09
2026-02-06,223031.54,43295.41,5,688.74
2026-02-13,232499.97,43295.41,5,679.89
2026-02-20,242539.52,43295.41,5,687.55
2026-02-27,243993.09,43295.41,5,684.12
2026-03-06,218006.43,67063.59,5,670.55
2026-03-13,218688.99,4807.35,5,660.49
2026-03-20,233290.54,4807.35,5,648.57
2026-03-27,229939.13,31388.69,5,634.09
